generator_id,timestamp,generation_mw,on_status,startup,demand_mw,renewable_gen_mw,net_load_mw,load_shedding_mw,total_generation_mw,curtailment_mw
Nuke_1,2024-01-01 00:00:00,1000.0,1.0,1.0,46594.64995,153.0,46441.64995,42641.65,3800.0,0.0
Nuke_1,2024-01-01 01:00:00,1000.0,1.0,0.0,41223.480177,170.99999999999997,41052.480177,37252.48,3800.0,0.0
Nuke_1,2024-01-01 02:00:00,1000.0,1.0,0.0,41479.399746,99.0,41380.399746,37580.4,3800.0,0.0
Nuke_1,2024-01-01 03:00:00,1000.0,1.0,0.0,41472.770126,135.0,41337.770126,37537.77,3800.0,0.0
Nuke_1,2024-01-01 04:00:00,1000.0,1.0,0.0,41477.440791,177.0,41300.440791,37500.441,3800.0,0.0
Nuke_1,2024-01-01 05:00:00,1000.0,1.0,0.0,42184.192955,120.0,42064.192955,38264.193,3800.0,0.0
Nuke_1,2024-01-01 06:00:00,1000.0,1.0,0.0,43149.502626,156.0,42993.502626,39193.503,3800.0,0.0
Nuke_1,2024-01-01 07:00:00,1000.0,1.0,0.0,44467.646479,188.0,44279.646479,40479.646,3800.0,0.0
Nuke_1,2024-01-01 08:00:00,1000.0,1.0,0.0,45310.81863,215.0,45095.81863,41295.819,3800.0,0.0
Nuke_1,2024-01-01 09:00:00,1000.0,1.0,0.0,46036.217054,303.5,45732.717054,41932.717,3800.0,0.0
Nuke_1,2024-01-01 10:00:00,1000.0,1.0,0.0,46495.645376,343.5,46152.145376,42352.145,3800.0,0.0
Nuke_1,2024-01-01 11:00:00,1000.0,1.0,0.0,46658.925817,347.5,46311.425817,42511.426,3800.0,0.0
Nuke_1,2024-01-01 12:00:00,1000.0,1.0,0.0,46279.240279,370.0,45909.240279,42109.24,3800.0,0.0
Nuke_1,2024-01-01 13:00:00,1000.0,1.0,0.0,45671.307416,344.5,45326.807416,41526.807,3800.0,0.0
Nuke_1,2024-01-01 14:00:00,1000.0,1.0,0.0,44589.753392,349.5,44240.253392,40440.253,3800.0,0.0
Nuke_1,2024-01-01 15:00:00,1000.0,1.0,0.0,43918.993587,354.5,43564.493587,39764.494,3800.0,0.0
Nuke_1,2024-01-01 16:00:00,1000.0,1.0,0.0,43782.108608,305.0,43477.108608,39677.109,3800.0,0.0
Nuke_1,2024-01-01 17:00:00,1000.0,1.0,0.0,44363.471906,188.0,44175.471906,40375.472,3800.0,0.0
Nuke_1,2024-01-01 18:00:00,1000.0,1.0,0.0,46787.294229,177.0,46610.294229,42810.294,3800.0,0.0
Nuke_1,2024-01-01 19:00:00,1000.0,1.0,0.0,48887.936422,93.0,48794.936422,44994.936,3800.0,0.0
Nuke_1,2024-01-01 20:00:00,1000.0,1.0,0.0,49122.190807,138.0,48984.190807,45184.191,3800.0,0.0
Nuke_1,2024-01-01 21:00:00,1000.0,1.0,0.0,49255.312657,135.0,49120.312657,45320.313,3800.0,0.0
Nuke_1,2024-01-01 22:00:00,1000.0,1.0,0.0,48927.277938,117.0,48810.277938,45010.278,3800.0,0.0
Nuke_1,2024-01-01 23:00:00,1000.0,1.0,0.0,47870.218872,122.99999999999999,47747.218872,43947.219,3800.0,0.0
Nuke_1,2024-01-02 00:00:00,1000.0,1.0,0.0,46646.865378,162.0,46484.865378,42684.865,3800.0,0.0
Nuke_1,2024-01-02 01:00:00,1000.0,1.0,0.0,45765.055235,144.0,45621.055235,41821.055,3800.0,0.0
Nuke_1,2024-01-02 02:00:00,1000.0,1.0,0.0,45357.843684,108.0,45249.843684,41449.844,3800.0,0.0
Nuke_1,2024-01-02 03:00:00,1000.0,1.0,0.0,45341.963319,132.0,45209.963319,41409.963,3800.0,0.0
Nuke_1,2024-01-02 04:00:00,1000.0,1.0,0.0,45572.238632,150.0,45422.238632,41622.239,3800.0,0.0
Nuke_1,2024-01-02 05:00:00,1000.0,1.0,0.0,46558.286583,195.0,46363.286583,42563.287,3800.0,0.0
Nuke_1,2024-01-02 06:00:00,1000.0,1.0,0.0,48861.014521,122.99999999999999,48738.014521,44938.015,3800.0,0.0
Nuke_1,2024-01-02 07:00:00,1000.0,1.0,0.0,51665.005926,167.0,51498.005926,47698.006,3800.0,0.0
Nuke_1,2024-01-02 08:00:00,1000.0,1.0,0.0,53450.532659,260.0,53190.532659,49390.533,3800.0,0.0
Nuke_1,2024-01-02 09:00:00,1000.0,1.0,0.0,53800.705569,321.5,53479.205569,49679.206,3800.0,0.0
Nuke_1,2024-01-02 10:00:00,1000.0,1.0,0.0,54108.818446,337.5,53771.318446,49971.318,3800.0,0.0
Nuke_1,2024-01-02 11:00:00,1000.0,1.0,0.0,53264.965984,392.5,52872.465984,49072.466,3800.0,0.0
Nuke_1,2024-01-02 12:00:00,1000.0,1.0,0.0,52094.968955,379.0,51715.968955,47915.969,3800.0,0.0
Nuke_1,2024-01-02 13:00:00,1000.0,1.0,0.0,51284.533076,374.5,50910.033076,47110.033,3800.0,0.0
Nuke_1,2024-01-02 14:00:00,1000.0,1.0,0.0,51349.727177,379.5,50970.227177,47170.227,3800.0,0.0
Nuke_1,2024-01-02 15:00:00,1000.0,1.0,0.0,51372.988157,324.5,51048.488157,47248.488,3800.0,0.0
Nuke_1,2024-01-02 16:00:00,1000.0,1.0,0.0,51583.610866,308.0,51275.610866,47475.611,3800.0,0.0
Nuke_1,2024-01-02 17:00:00,1000.0,1.0,0.0,52220.01121,161.0,52059.01121,48259.011,3800.0,0.0
Nuke_1,2024-01-02 18:00:00,1000.0,1.0,0.0,53692.805009,141.0,53551.805009,49751.805,3800.0,0.0
Nuke_1,2024-01-02 19:00:00,1000.0,1.0,0.0,54195.656466,144.0,54051.656466,50251.656,3800.0,0.0
Nuke_1,2024-01-02 20:00:00,1000.0,1.0,0.0,53756.217208,102.00000000000001,53654.217208,49854.217,3800.0,0.0
Nuke_1,2024-01-02 21:00:00,1000.0,1.0,0.0,52413.722111,135.0,52278.722111,48478.722,3800.0,0.0
Nuke_1,2024-01-02 22:00:00,1000.0,1.0,0.0,50956.25649,84.00000000000001,50872.25649,47072.256,3800.0,0.0
Nuke_1,2024-01-02 23:00:00,1000.0,1.0,0.0,48894.704172,177.0,48717.704172,44917.704,3800.0,0.0
Nuke_1,2024-01-03 00:00:00,1000.0,1.0,0.0,46503.254605,114.0,46389.254605,42589.255,3800.0,0.0
Nuke_1,2024-01-03 01:00:00,1000.0,1.0,0.0,45325.66236,138.0,45187.66236,41387.662,3800.0,0.0
Nuke_1,2024-01-03 02:00:00,1000.0,1.0,0.0,44430.945742,138.0,44292.945742,40492.946,3800.0,0.0
Nuke_1,2024-01-03 03:00:00,1000.0,1.0,0.0,44230.19995,168.00000000000003,44062.19995,40262.2,3800.0,0.0
Nuke_1,2024-01-03 04:00:00,1000.0,1.0,0.0,44418.455647,138.0,44280.455647,40480.456,3800.0,0.0
Nuke_1,2024-01-03 05:00:00,1000.0,1.0,0.0,45239.56118,120.0,45119.56118,41319.561,3800.0,0.0
Nuke_1,2024-01-03 06:00:00,1000.0,1.0,0.0,47295.85293,99.0,47196.85293,43396.853,3800.0,0.0
Nuke_1,2024-01-03 07:00:00,1000.0,1.0,0.0,49917.831208,203.0,49714.831208,45914.831,3800.0,0.0
Nuke_1,2024-01-03 08:00:00,1000.0,1.0,0.0,51631.855386,230.0,51401.855386,47601.855,3800.0,0.0
Nuke_1,2024-01-03 09:00:00,1000.0,1.0,0.0,52106.050784,348.5,51757.550784,47957.551,3800.0,0.0
Nuke_1,2024-01-03 10:00:00,1000.0,1.0,0.0,52408.214998,382.5,52025.714998,48225.715,3800.0,0.0
Nuke_1,2024-01-03 11:00:00,1000.0,1.0,0.0,51844.973144,428.5,51416.473144,47616.473,3800.0,0.0
Nuke_1,2024-01-03 12:00:00,1000.0,1.0,0.0,50662.584708,379.0,50283.584708,46483.585,3800.0,0.0
Nuke_1,2024-01-03 13:00:00,1000.0,1.0,0.0,49615.580453,389.5,49226.080453,45426.08,3800.0,0.0
Nuke_1,2024-01-03 14:00:00,1000.0,1.0,0.0,48553.596921,328.5,48225.096921,44425.097,3800.0,0.0
Nuke_1,2024-01-03 15:00:00,1000.0,1.0,0.0,47494.177068,321.5,47172.677068,43372.677,3800.0,0.0
Nuke_1,2024-01-03 16:00:00,1000.0,1.0,0.0,47045.738024,251.0,46794.738024,42994.738,3800.0,0.0
Nuke_1,2024-01-03 17:00:00,1000.0,1.0,0.0,47413.978726,179.0,47234.978726,43434.979,3800.0,0.0
Nuke_1,2024-01-03 18:00:00,1000.0,1.0,0.0,49244.931488,192.0,49052.931488,45252.931,3800.0,0.0
Nuke_1,2024-01-03 19:00:00,1000.0,1.0,0.0,51080.296331,105.0,50975.296331,47175.296,3800.0,0.0
Nuke_1,2024-01-03 20:00:00,1000.0,1.0,0.0,51036.148323,162.0,50874.148323,47074.148,3800.0,0.0
Nuke_1,2024-01-03 21:00:00,1000.0,1.0,0.0,50686.653363,186.0,50500.653363,46700.653,3800.0,0.0
Nuke_1,2024-01-03 22:00:00,1000.0,1.0,0.0,49779.955901,147.0,49632.955901,45832.956,3800.0,0.0
Nuke_1,2024-01-03 23:00:00,1000.0,1.0,0.0,48074.840447,66.0,48008.840447,44208.84,3800.0,0.0
Nuke_1,2024-01-04 00:00:00,1000.0,1.0,0.0,44242.863534,132.0,44110.863534,40310.864,3800.0,0.0
Nuke_1,2024-01-04 01:00:00,1000.0,1.0,0.0,45483.373794,186.0,45297.373794,41497.374,3800.0,0.0
